CustomerID,Gender,Age,AnnualIncome
139,0,38,144
140,0,59,57
141,1,23,69
142,0,58,59
143,0,23,28
144,0,67,79
145,1,39,48
146,0,43,60
147,0,28,109
148,1,35,42
149,0,37,100
150,0,39,46
151,0,66,91
152,0,24,77
153,1,20,51
154,0,31,77
155,0,30,127
156,0,22,145
157,1,61,70
158,0,44,141
159,0,62,32
160,0,44,147
161,1,55,46
162,0,27,129
163,1,59,43
164,1,58,55
165,0,37,51
166,1,52,31
167,1,28,109
168,1,53,26
169,0,42,85
170,1,50,133
171,1,50,106
172,1,31,23
173,1,50,100
174,1,61,66
175,1,18,138
176,0,59,86
177,0,62,67
178,0,28,26
179,1,28,90
180,0,68,31
181,0,44,126
182,0,23,133
183,0,65,140
184,0,64,74
185,1,26,53
186,0,66,85
187,0,28,121
188,0,18,40
189,0,47,88
190,0,26,124
191,1,68,147
192,1,43,126
193,1,30,39
194,0,23,50
195,0,24,61
196,1,55,93
197,1,52,124
198,1,61,33
199,1,62,83
200,1,54,53
201,1,28,32
202,1,23,39
203,1,22,115
204,0,28,81
205,0,44,38
206,0,54,28
207,1,55,143
208,1,26,30
209,0,68,22
210,0,32,134
211,0,34,66
212,1,45,77
213,0,19,35
214,1,64,91
215,1,42,51
216,1,50,27
217,1,47,71
218,1,42,42
219,1,56,89
220,0,51,130
221,0,54,98
222,1,50,130
223,1,44,60
224,1,50,119
225,0,48,69
226,0,49,110
227,1,45,104
228,1,22,58
229,0,67,26
230,0,28,123
231,1,52,110
232,0,28,52
233,0,49,53
234,0,23,118
235,1,18,133
236,0,58,144
237,0,48,126
238,1,30,114
239,0,61,74
240,1,19,36
241,1,58,69
242,0,39,95
243,0,58,59
244,1,39,68
245,1,53,66
246,1,35,31
247,1,49,83
248,0,65,27
249,0,24,106
250,0,28,79
251,0,55,67
252,1,35,114
253,0,25,135
254,1,68,40
255,1,37,94
256,0,53,46
257,0,52,21
258,1,61,47
259,0,57,44
260,1,22,139
261,1,52,57
262,1,31,128
263,1,22,50
264,1,54,35
265,1,30,112
266,1,52,43
267,0,37,52
268,0,37,125
269,0,60,97
270,1,33,121
271,1,24,44
272,1,54,71
273,1,58,149
274,1,65,59
275,0,50,107
276,0,24,93
277,0,38,146
278,0,61,24
279,0,64,125
280,0,25,143
281,1,39,70
282,1,50,37
283,0,55,89
284,1,69,69
285,1,22,78
286,1,24,76
287,0,56,53
288,0,28,48
289,0,56,118
290,1,21,116
291,1,52,74
292,1,21,114
293,0,20,28
294,1,41,94
295,0,24,82
296,0,52,80
297,1,18,83
298,0,60,120
299,1,25,94
300,1,63,131
301,0,55,100
302,1,23,62
303,1,63,125
304,0,38,148
305,1,55,98
306,0,63,92
307,0,67,31
308,0,51,103
309,0,36,112
310,0,20,115
311,1,42,74
312,0,26,141
313,0,48,57
314,1,50,92
315,0,41,49
316,0,53,123
317,1,44,36
318,0,52,88
319,0,22,35
320,1,30,25
321,1,23,141
322,0,51,107
323,0,26,23
324,0,22,24
325,0,19,110
326,1,58,95
327,1,51,33
328,0,21,65
329,1,35,77
330,1,65,67
331,0,61,146
332,1,18,57
333,1,38,147
334,1,59,115
335,1,55,46
336,0,54,69
337,0,59,40
338,1,47,95
339,1,40,126
340,1,33,96
341,1,39,133
342,1,69,37
343,1,44,72
344,1,23,93
345,0,67,55
346,0,22,122
347,1,54,37
348,1,51,90
349,1,37,118
350,0,43,106
351,0,65,38
352,0,60,134
353,0,40,65
354,0,42,124
355,0,25,148
356,0,24,109
357,0,51,65
358,0,28,47
359,1,49,105
360,1,30,78
361,0,65,24
362,0,46,111
363,0,28,58
364,0,61,21
365,1,55,136
366,1,35,70
367,0,58,55
368,1,33,127
369,1,23,30
370,0,64,71
371,0,50,80
372,1,26,102
373,0,65,69
374,0,49,44
375,0,56,109
376,0,45,82
377,0,22,50
378,0,56,41
379,0,66,45
380,1,66,101
381,1,41,25
382,1,38,122
383,0,53,32
384,1,39,138
385,0,50,90
386,1,46,81
387,0,29,54
388,1,64,109
389,0,30,87
390,0,52,37
391,1,26,103
392,0,50,128
393,0,44,120
394,0,69,34
395,1,34,38
396,0,58,103
397,1,65,43
398,0,41,45
399,0,30,131
400,1,47,100
401,1,35,109
402,0,59,68
403,1,53,133
404,0,39,36
405,0,57,119
406,0,18,149
407,1,54,57
408,1,40,84
409,1,50,65
410,0,41,141
411,1,63,98
412,1,48,78
413,1,65,123
414,1,53,116
415,0,54,49
416,1,24,115
417,0,32,114
418,1,63,22
419,1,20,37
420,1,33,71
421,0,66,123
422,0,32,65
423,0,32,123
424,1,19,63
425,1,67,94
426,0,40,110
427,0,46,133
428,0,30,114
429,0,45,56
430,1,54,64
431,0,65,27
432,0,37,133
433,1,66,106
434,0,28,140
435,0,52,25
436,0,23,58
437,1,50,66
438,0,31,41
439,1,63,83
440,0,24,36
441,0,30,28
442,1,51,70
443,1,30,137
444,0,67,112
445,0,56,26
446,1,62,22
447,1,52,120
448,0,33,72
449,0,36,119
450,1,25,36
451,1,52,49
452,1,25,112
453,0,55,40
454,0,26,91
455,0,19,106
456,1,35,85
457,0,26,48
458,0,31,124
459,1,55,127
460,1,60,117
461,1,57,113
462,0,65,93
463,0,19,38
464,1,42,29
465,1,54,33
466,0,65,91
467,1,51,56
468,1,57,83
469,0,69,110
470,1,51,143
471,0,64,127
472,1,69,143
473,1,61,95
474,0,45,119
475,1,30,125
476,1,68,29
477,1,35,121
478,0,33,61
479,0,51,122
480,0,29,101
481,0,60,40
482,0,26,61
483,1,63,60
484,0,18,97
485,1,40,48
486,0,24,38
487,0,34,59
488,1,45,100
489,0,51,110
490,0,57,125
491,1,33,82
492,1,68,92
493,1,46,119
494,0,50,47
495,1,52,47
496,1,68,112
497,0,39,69
498,0,62,81
499,0,64,112
500,0,48,117
501,1,52,32
502,1,64,96
503,1,25,38
504,1,50,123
505,1,56,97
506,0,66,149
507,1,30,119
508,1,39,43
509,1,26,107
510,1,47,106
511,0,33,21
512,1,59,95
513,1,28,60
514,0,24,70
515,1,21,77
516,0,23,80
517,1,42,67
518,0,68,147
519,0,53,96
520,0,27,97
521,0,67,27
522,0,19,72
523,1,41,99
524,1,39,96
525,1,29,24
526,0,44,96
527,1,32,116
528,1,68,50
529,1,68,144
530,0,63,66
531,0,33,20
532,0,38,123
533,1,39,21
534,1,27,24
535,0,36,78
536,1,48,26
537,0,39,36
538,0,62,126
539,0,68,104
540,0,51,129
541,0,35,72
542,1,40,68
543,0,57,56
544,1,38,75
545,1,52,96
546,1,29,106
547,0,30,75
548,1,50,103
549,0,31,115
550,1,18,35
551,0,30,137
552,1,44,114
553,0,27,27
554,1,32,98
555,1,28,55
556,1,18,124
557,0,51,47
558,1,59,65
559,0,29,84
560,1,45,141
561,0,55,72
562,0,39,126
563,1,24,56
564,1,23,30
565,1,28,92
566,1,34,96
567,1,31,23
568,0,41,120
569,0,55,23
570,1,19,139
571,0,42,47
572,0,23,145
573,0,69,73
574,1,20,31
575,0,19,148
576,0,18,116
577,1,41,44
578,1,49,46
579,0,28,58
580,0,34,25
581,1,57,33
582,0,64,138
583,1,31,97
584,1,34,115
585,0,66,148
586,0,67,52
587,1,53,23
588,0,25,76
589,0,36,127
590,1,34,129
591,1,54,70
592,1,18,21
593,1,53,20
594,0,22,142
595,1,54,23
596,1,39,125
597,1,36,27
598,0,52,53
599,1,34,70
600,0,56,59
601,1,27,112
602,1,65,116
603,1,44,141
604,1,58,114
605,0,49,36
606,0,30,34
607,1,42,33
608,1,61,21
609,0,41,53
610,1,37,98
611,0,24,71
612,0,64,60
613,1,54,96
614,1,57,64
615,1,40,123
616,1,44,60
617,0,56,148
618,1,32,122
619,1,19,22
620,0,54,123
621,0,21,25
622,0,67,104
623,1,60,92
624,1,45,61
625,0,22,47
626,1,25,27
627,0,50,88
628,1,36,121
629,1,51,84
630,1,56,97
631,0,21,143
632,1,43,65
633,1,38,144
634,1,33,84
635,0,33,133
636,0,65,28
637,0,28,88
638,0,19,22
639,0,32,43
640,1,27,28
641,1,56,89
642,1,26,65
643,1,40,95
644,0,51,71
645,1,47,136
646,0,54,95
647,1,47,138
648,0,64,118
649,0,58,48
650,1,44,52
651,1,44,130
652,0,63,108
653,0,36,137
654,1,48,69
655,0,47,149
656,0,42,86
657,1,40,141
658,0,68,135
659,0,47,93
660,1,33,37
661,0,48,50
662,1,44,92
663,1,67,146
664,1,35,124
665,1,25,31
666,1,62,129
667,1,60,139
668,1,39,68
669,0,40,59
670,1,52,26
671,1,21,88
672,1,23,54
673,1,39,21
674,0,68,58
675,1,28,90
676,1,22,118
677,0,52,53
678,0,33,25
679,0,28,143
680,0,39,37
681,1,26,116
682,0,48,53
683,1,58,47
684,0,25,24
685,0,46,89
686,1,62,71
687,0,63,61
688,0,38,127
689,0,46,55
690,0,52,110
691,0,57,146
692,0,44,54
693,0,39,91
694,0,19,131
695,0,26,147
696,0,27,78
697,1,39,118
698,1,22,118
699,0,31,71
700,1,47,126
701,0,53,135
702,0,25,132
703,0,58,56
704,0,63,94
705,1,33,93
706,0,45,123
707,0,44,38
708,0,32,101
709,0,22,78
710,0,50,112
711,0,39,65
712,1,19,32
713,1,36,108
714,1,21,30
715,0,28,80
716,0,66,91
717,0,45,47
718,0,62,38
719,1,59,88
720,1,50,147
721,0,48,73
722,0,48,94
723,0,38,52
724,1,46,35
725,1,27,33
726,1,51,59
727,0,23,65
728,0,40,101
729,1,45,23
730,0,30,138
731,0,47,81
732,0,19,36
733,1,58,116
734,0,36,59
735,0,25,37
736,1,21,146
737,1,50,137
738,0,66,87
739,0,47,96
740,0,57,58
741,0,38,24
742,1,19,135
743,0,58,118
744,0,55,38
745,0,34,67
746,1,57,143
747,0,29,35
748,0,43,99
749,0,19,146
750,0,47,80
751,0,48,115
752,0,19,87
753,0,34,145
754,1,48,52
755,0,69,120
756,1,59,82
757,0,21,104
758,1,32,115
759,1,58,54
760,1,40,55
761,1,61,37
762,1,20,85
763,1,46,20
764,1,55,55
765,1,29,79
766,1,33,84
767,0,19,41
768,0,66,56
769,0,45,73
770,1,48,77
771,0,24,79
772,1,19,120
773,1,51,126
774,1,66,107
775,1,41,147
776,1,59,89
777,1,27,67
778,1,20,32
779,1,30,120
780,0,54,111
781,1,59,119
782,1,49,146
783,0,48,132
784,1,47,73
785,0,42,146
786,0,18,73
787,1,59,96
788,0,31,37
789,0,25,41
790,1,62,70
791,1,67,144
792,1,39,22
793,1,54,57
794,0,38,35
795,1,63,89
796,1,30,24
797,1,46,25
798,1,63,38
799,1,44,56
800,1,50,110
801,0,46,48
802,1,67,50
803,0,60,138
804,0,65,73
805,1,63,109
806,0,48,45
807,1,31,26
808,1,37,52
809,0,19,102
810,1,28,148
811,1,59,61
812,0,39,91
813,0,43,88
814,1,21,38
815,0,37,143
816,0,61,59
817,0,52,111
818,0,18,125
819,0,67,63
820,0,60,40
821,1,19,43
822,1,22,57
823,1,59,30
824,0,19,25
825,1,41,114
826,1,58,53
827,0,53,65
828,0,56,43
829,0,34,109
830,0,27,132
831,1,20,131
832,0,19,100
833,1,23,67
834,0,53,87
835,0,48,76
836,1,26,123
837,0,34,56
838,1,53,55
839,0,22,147
840,0,43,133
841,1,31,69
842,0,41,123
843,1,54,98
844,1,49,75
845,1,51,116
846,1,58,55
847,1,44,70
848,0,33,127
849,1,48,74
850,1,41,91
851,1,48,73
852,1,45,44
853,1,21,117
854,0,27,63
855,0,28,96
856,1,32,145
857,0,38,79
858,0,56,24
859,1,21,127
860,1,47,51
861,0,35,89
862,1,59,37
863,0,31,99
864,0,53,115
865,0,63,93
866,0,40,108
867,1,36,44
868,1,60,60
869,1,22,56
870,1,19,24
871,0,39,84
872,0,38,52
873,1,52,128
874,1,45,59
875,1,64,109
876,1,60,97
877,0,51,85
878,0,60,61
879,1,60,85
880,1,65,125
881,0,69,56
882,0,58,115
883,1,24,70
884,1,27,105
885,1,46,140
886,0,63,28
887,1,19,41
888,1,57,108
889,0,58,146
890,0,34,78
891,1,36,27
892,1,62,25
893,0,65,130
894,0,30,144
895,1,56,110
896,0,21,76
897,1,38,106
898,1,53,129
899,0,53,58
900,1,22,147
901,0,19,100
902,1,54,146
903,1,19,120
904,1,60,110
905,0,59,51
906,0,40,53
907,0,54,112
908,0,59,67
909,1,35,32
910,0,26,54
911,0,55,27
912,0,40,86
913,0,35,76
914,0,57,141
915,1,53,75
916,0,30,30
917,0,41,142
918,1,30,88
919,0,69,142
920,1,32,65
921,1,68,138
922,0,55,40
923,0,31,84
924,1,19,141
925,0,52,106
926,0,60,132
927,1,54,142
928,0,45,147
929,1,21,50
930,1,38,124
931,0,57,74
932,0,23,139
933,1,18,38
934,1,63,129
935,1,39,80
936,0,49,99
937,0,51,65
938,0,34,143
939,1,44,59
940,1,20,38
941,1,65,96
942,1,62,100
943,1,42,132
944,1,61,59
945,0,69,90
946,1,21,28
947,1,35,60
948,1,42,106
949,1,29,124
950,1,56,125
951,0,61,45
952,0,47,113
953,0,34,110
954,1,46,113
955,1,25,134
956,1,62,78
957,1,34,58
958,0,67,47
959,1,37,79
960,0,28,45
961,1,44,130
962,0,60,44
963,1,58,131
964,0,22,34
965,1,65,24
966,0,37,110
967,1,21,44
968,1,64,104
969,1,22,23
970,0,47,118
971,1,40,27
972,1,42,139
973,1,32,146
974,0,45,88
975,0,34,113
976,1,46,125
977,0,48,104
978,1,45,91
979,0,32,123
980,1,27,61
981,1,26,91
982,1,44,36
983,1,26,57
984,0,66,27
985,1,25,75
986,0,62,28
987,1,64,23
988,1,42,98
989,1,26,53
990,0,26,148
991,1,44,142
992,0,36,61
993,1,41,34
994,0,31,24
995,0,41,70
996,0,60,62
997,1,22,29
998,0,37,75
999,0,41,26
1000,1,31,87
