Date,Close
2023-07-06,84.13
2023-07-07,83.21
2023-07-10,84.76
2023-07-11,83.98
2023-07-12,83.65
2023-07-13,84.47
2023-07-14,83.24
2023-07-17,83.46
2023-07-18,84.77
2023-07-19,83.16
2023-07-20,83.35
2023-07-21,83.61
2023-07-24,84.39
2023-07-25,83.15
2023-07-26,81.83
2023-07-27,82.35
2023-07-28,82.65
2023-07-31,82.9
2023-08-01,83.25
2023-08-02,82.57
2023-08-03,82.8
2023-08-04,83.09
2023-08-07,82.38
2023-08-08,84.24
2023-08-09,84.72
2023-08-10,83.53
2023-08-11,84.18
2023-08-14,83.21
2023-08-15,84.0
2023-08-16,85.15
2023-08-17,84.33
2023-08-18,85.3
2023-08-21,85.71
2023-08-22,86.53
2023-08-23,88.43
2023-08-24,88.18
2023-08-25,87.43
2023-08-28,86.54
2023-08-29,85.72
2023-08-30,85.65
2023-08-31,85.99
2023-09-01,86.27
2023-09-04,87.09
2023-09-05,87.11
2023-09-06,88.56
2023-09-07,88.29
2023-09-08,91.01
2023-09-11,91.64
2023-09-12,90.78
2023-09-13,89.71
2023-09-14,90.19
2023-09-15,89.97
2023-09-18,90.69
2023-09-19,91.16
2023-09-20,91.09
2023-09-21,90.24
2023-09-22,88.72
2023-09-25,88.28
2023-09-26,89.13
2023-09-27,89.35
2023-09-28,88.1
2023-09-29,88.28
2023-10-02,88.66
2023-10-03,87.78
2023-10-04,87.93
2023-10-05,87.99
2023-10-06,86.85
2023-10-09,87.2
2023-10-10,87.76
2023-10-11,88.85
2023-10-12,89.9
2023-10-13,88.52
2023-10-16,87.59
2023-10-17,88.1
2023-10-18,88.61
2023-10-19,89.13
2023-10-20,92.98
2023-10-23,93.55
2023-10-24,94.69
2023-10-25,95.64
2023-10-26,96.29
2023-10-27,95.98
2023-10-30,96.74
2023-10-31,
2023-11-01,95.73
2023-11-02,95.24
2023-11-03,95.32
2023-11-06,97.64
2023-11-07,95.77
2023-11-08,96.46
2023-11-09,94.85
2023-11-10,94.37
2023-11-13,95.46
2023-11-14,95.53
2023-11-15,94.45
2023-11-16,93.73
2023-11-17,94.41
2023-11-20,93.68
2023-11-21,93.9
2023-11-22,93.95
2023-11-23,93.29
2023-11-24,95.44
2023-11-27,96.07
2023-11-28,94.05
2023-11-29,94.23
2023-11-30,93.57
2023-12-01,94.42
2023-12-04,93.63
2023-12-05,93.52
2023-12-06,94.02
2023-12-07,94.89
2023-12-08,93.69
2023-12-11,93.35
2023-12-12,92.88
2023-12-13,92.22
2023-12-14,93.99
2023-12-15,94.39
2023-12-18,93.13
2023-12-19,94.05
2023-12-20,96.17
2023-12-21,97.21
2023-12-22,95.69
2023-12-25,95.2
2023-12-26,96.47
2023-12-27,95.76
2023-12-28,96.21
2023-12-29,96.98
